"g","home.team","away.team","h.g","a.g","Yg1","Yg2"
"279","Udinese","Sampdoria","19","15","2","1"
"280","Napoli","Milan","12","11","0","1"
"281","Atalanta","Genoa","1","6","0","0"
"282","Sampdoria","Juventus","15","9","1","3"
"283","Milan","Empoli","11","4","1","0"
"284","Udinese","Roma","19","13","1","1"
"285","Torino","Inter","18","8","1","1"
"286","Spezia","Cagliari","17","3","2","0"
"287","Hellas Verona","Napoli","7","12","1","2"
"288","Fiorentina","Bologna","5","2","1","0"
"289","Lazio","Venezia","10","20","1","0"
"290","Salernitana","Sassuolo","14","16","2","2"
"291","Cagliari","Milan","3","11","0","1"
"292","Genoa","Torino","6","18","1","0"
"293","Empoli","Hellas Verona","4","7","1","1"
"294","Juventus","Salernitana","9","14","2","0"
"295","Inter","Fiorentina","8","5","1","1"
"296","Napoli","Udinese","12","19","2","1"
"297","Venezia","Sampdoria","20","15","0","2"
"298","Sassuolo","Spezia","16","17","4","1"
"299","Roma","Lazio","13","10","3","0"
"300","Bologna","Atalanta","2","1","0","1"
"301","Udinese","Cagliari","19","3","5","1"
"302","Hellas Verona","Genoa","7","6","1","0"
"303","Salernitana","Torino","14","18","0","1"
"304","Fiorentina","Empoli","5","4","1","0"
"305","Spezia","Venezia","17","20","1","0"
"306","Atalanta","Napoli","1","12","1","3"
"307","Lazio","Sassuolo","10","16","2","1"
"308","Milan","Bologna","11","2","0","0"
"309","Juventus","Inter","9","8","0","1"
"310","Sampdoria","Roma","15","13","0","1"
"311","Sassuolo","Atalanta","16","1","2","1"
"312","Genoa","Lazio","6","10","1","4"
"313","Napoli","Fiorentina","12","5","2","3"
"314","Venezia","Udinese","20","19","1","2"
"315","Roma","Salernitana","13","14","2","1"
"316","Cagliari","Juventus","3","9","1","2"
"317","Inter","Hellas Verona","8","7","2","0"
"318","Empoli","Spezia","4","17","0","0"
"319","Torino","Milan","18","11","0","0"
"320","Bologna","Sampdoria","2","15","2","0"
"321","Napoli","Roma","12","13","1","1"
"322","Sampdoria","Salernitana","15","14","1","2"
"323","Milan","Genoa","11","6","2","0"
"324","Udinese","Empoli","19","4","4","1"
"325","Spezia","Inter","17","8","1","3"
"326","Juventus","Bologna","9","2","1","1"
"327","Cagliari","Sassuolo","3","16","1","0"
"328","Fiorentina","Venezia","5","20","1","0"
"329","Lazio","Torino","10","18","1","1"
"330","Atalanta","Hellas Verona","1","7","1","2"
"331","Venezia","Atalanta","20","1","1","3"
"332","Salernitana","Fiorentina","14","5","2","1"
"333","Bologna","Udinese","2","19","2","2"
"334","Inter","Roma","8","13","3","1"
"335","Lazio","Milan","10","11","1","2"
"336","Hellas Verona","Sampdoria","7","15","1","1"
"337","Genoa","Cagliari","6","3","1","0"
"338","Empoli","Napoli","4","12","3","2"
"339","Sassuolo","Juventus","16","9","1","2"
"340","Torino","Spezia","18","17","2","1"
"341","Juventus","Venezia","9","20","2","1"
"342","Atalanta","Salernitana","1","14","1","1"
"343","Napoli","Sassuolo","12","16","6","1"
"344","Empoli","Torino","4","18","1","3"
"345","Milan","Fiorentina","11","5","1","0"
"346","Cagliari","Hellas Verona","3","7","1","2"
"347","Roma","Bologna","13","2","0","0"
"348","Spezia","Lazio","17","10","3","4"
"349","Udinese","Inter","19","8","1","2"
"350","Sampdoria","Genoa","15","6","1","0"
"351","Salernitana","Cagliari","14","3","1","1"
"352","Sassuolo","Udinese","16","19","1","1"
"353","Hellas Verona","Milan","7","11","1","3"
"354","Torino","Napoli","18","12","0","1"
"355","Lazio","Sampdoria","10","15","2","0"
"356","Venezia","Bologna","20","2","4","3"
"357","Genoa","Juventus","6","9","2","1"
"358","Fiorentina","Roma","5","13","2","0"
"359","Spezia","Atalanta","17","1","1","3"
"360","Inter","Empoli","8","4","4","2"
"361","Bologna","Sassuolo","2","16","1","3"
"362","Juventus","Lazio","9","10","2","2"
"363","Empoli","Salernitana","4","14","1","1"
"364","Roma","Venezia","13","20","1","1"
"365","Hellas Verona","Torino","7","18","0","1"
"366","Udinese","Spezia","19","17","2","3"
"367","Milan","Atalanta","11","1","2","0"
"368","Sampdoria","Fiorentina","15","5","4","1"
"369","Cagliari","Inter","3","8","1","3"
"370","Napoli","Genoa","12","6","3","0"
"371","Venezia","Cagliari","20","3","0","0"
"372","Inter","Sampdoria","8","15","3","0"
"373","Lazio","Hellas Verona","10","7","3","3"
"374","Sassuolo","Milan","16","11","0","3"
"375","Spezia","Napoli","17","12","0","3"
"376","Genoa","Bologna","6","2","0","1"
"377","Salernitana","Udinese","14","19","0","4"
"378","Fiorentina","Juventus","5","9","2","0"
"379","Atalanta","Empoli","1","4","0","1"
"380","Torino","Roma","18","13","0","3"
